der	the
in	in
und	and
sein	to be
ein	a, an
werden	to become, will
von	from, of
zu	to, too
er	he
mit	with
an	at, on
auf	on, onto
als	as, than, when
für	for
sich	oneself (reflexive)
haben	to have
auch	also, too
dieser	this, these
nach	after, to
sie	she, they
bei	at, with
es	it
nicht	not
aus	from, out of
Jahr	year
bis	until, to
können	to be able to, can
ich	I
ihr	her, their, you (plural)
durch	through, by
über	over, about
um	around, at (time)
oder	or
nur	only
erste	first
dass	that
noch	still, yet
vor	before, in front of
sehr	very
alle	all, everyone
wie	how, as, like
so	so, thus
aber	but
gut	good
wir	we
mehr	more
unter	under, among
man	one, you (generic)
groß	big, large
anderer	other, another
geben	to give
kommen	to come
seit	since
zwei	two
neu	new
weit	far, wide
müssen	must, to have to
ab	from, off
kein	no, not any
viel	much, many
sollen	should, ought to
zwischen	between
Zeit	time
dort	there
spät	late
wieder	again
deutsch	German
Stadt	city, town
hier	here
jedoch	however
sowie	as well as
liegen	to lie, to be located
finden	to find
heute	today
gehen	to go
gegen	against
dann	then
was	what
etwa	about, approximately
machen	to make, to do
wollen	to want
gehören	to belong
während	during, while
erhalten	to receive
alt	old
lassen	to let, to leave
mein	my
führen	to lead
stehen	to stand
immer	always
schon	already
bereits	already
dabei	thereby, in doing so
damit	so that, with it
hoch	high, tall
beide	both
Teil	part
befinden	to be located
drei	three
klein	small
einige	some, several
Deutschland	Germany
nehmen	to take
wenn	if, when
bestehen	to consist of, to exist
zweite	second
lang	long
sehen	to see
Frau	woman, Mrs
Land	country, land
wo	where
Ort	place
jeder	each, every
stellen	to put, to place
spielen	to play
sagen	to say
bleiben	to stay, to remain
Familie	family
erreichen	to reach
Ende	end
Tag	day
verschieden	different, various
selbst	even, self
beginnen	to begin
allerdings	however, though
Gemeinde	municipality, community
letzte	last
arbeiten	to work
neben	beside, next to
kurz	short
Prozent	percent
ganz	whole, entirely
unser	our
Preis	price, prize
meist	mostly
Platz	place, square
sondern	but rather
Name	name
entstehen	to arise, to come into being
eigen	own
ohne	without
zunächst	first, for now
Sohn	son
Mitglied	member
welcher	which
vier	four
wenig	little, few
gründen	to found
Mensch	human, person
Kind	child
Universität	university
stark	strong
zusammen	together
rund	around, approximately
Gruppe	group
Haus	house
Berlin	Berlin
treten	to step, to enter
wegen	because of
nah	near, close
bekannt	well-known
Saison	season
international	international
Art	kind, type
nennen	to name, to call
dazu	in addition, to that
Film	film
bezeichnen	to designate, to call
bilden	to form
politisch	political
freundlich	friendly
nun	now
doch	yet, but
Mann	man
ebenfalls	likewise
zurück	back
gewinnen	to win
zeigen	to show
Meter	metre, meter
französisch	French
übernehmen	to take over
folgen	to follow
Einwohner	inhabitant
wichtig	important
früh	early
Unternehmen	company
Kirche	church
einfach	simple, simply
halten	to hold
außerdem	besides
amerikanisch	American
Werk	work, plant
Arbeit	work
danach	afterwards
setzen	to set, to put
gemeinsam	common, joint
schnell	fast
ziehen	to pull
bekommen	to get, to receive
nett	nice
Seite	page, side
empfehlen	to recommend
nachdem	after
Form	form
zudem	moreover
Spiel	game
Staat	state
Gebiet	area, region
bringen	to bring
weil	because
gelten	to apply, to be valid
Partei	party
heutig	present-day
davon	of that, from it
etwas	something, somewhat
nutzen	to use
ehemalig	former
Region	region
direkt	direct
leben	to live
wirklich	really
gleich	same, equal
besonders	especially
besitzen	to own
fast	almost
also	so, therefore
darauf	on it, thereupon
schließen	to close
Geschichte	history, story
Vater	father
erfolgen	to take place
erstmals	for the first time
nördlich	northern
Anfang	beginning
zahlreich	numerous
mal	once, times
fünf	five
aufgrund	because of
Präsident	president
dienen	to serve
schreiben	to write
insbesondere	in particular
ursprünglich	original
verwenden	to use
insgesamt	altogether
Jahrhundert	century
Album	album
Hotel	hotel
Fall	case, fall
oft	often
sechs	six
Grund	reason, ground
möglich	possible
handeln	to act, to deal
betragen	to amount to
versuchen	to try
bieten	to offer
dürfen	may, to be allowed
besuchen	to visit
Insel	island
Frankreich	France
Band	volume, band
Folge	episode, consequence
studieren	to study
Million	million
bauen	to build
europäisch	European
Woche	week
weiter	further
statt	instead of
Titel	title
Herr	Mr, gentleman
Person	person
bekennen	to profess, to confess
schwer	heavy, difficult
Bau	construction
gelingen	to succeed
jung	young
Tod	death
Firma	company
leider	unfortunately
Rolle	role
schlecht	bad
öffentlich	public
entwickeln	to develop
Regierung	government
veröffentlichen	to publish
solcher	such
tragen	to carry, to wear
deshalb	therefore
dritte	third
britisch	British
erscheinen	to appear
Problem	problem
ob	whether
schön	beautiful
frei	free
stammen	to come from
Krieg	war
einsetzen	to deploy, to insert
genau	exact, exactly
Erfolg	success
nichts	nothing
anschließend	subsequent
schließlich	finally
Verein	club, association
super	great
sozial	social
Oktober	October
Amt	office
folgend	following
Stunde	hour
Einsatz	use, deployment
Mannschaft	team
Ergebnis	result
sogar	even
gesamt	entire
schaffen	to manage, to create
Betrieb	operation, business
König	king
sterben	to die
sieben	seven
Dorf	village
nie	never
jetzt	now
Essen	food, meal
August	August
Buch	book
Sitz	seat, headquarters
Gebäude	building
südlich	southern
wobei	whereby
Schule	school
Weg	way, path
damals	back then
sprechen	to speak
Bereich	area
zwar	admittedly
daher	therefore
wechseln	to change
wählen	to choose, to vote
