w	in
i	und
być	sein
się	sich
z	aus
na	auf
nie	nicht
on	er
to	das
do	zu
że	dass
ten	dieser
który	welcher
mieć	haben
o	über
jak	wie
po	nach
co	was
ale	aber
od	von
rok	Jahr
za	für
móc	können
przez	durch
tak	so
by	würde
już	schon
ja	ich
swój	sein
dla	für
tylko	nur
taki	solcher
czy	ob
bardzo	sehr
jeden	eins
czas	Zeit
sam	selbst
inny	anderer
też	auch
jednak	jedoch
bo	weil
chcieć	wollen
mówić	sprechen
przed	vor
jeszcze	noch
człowiek	Mensch
zostać	werden
raz	Mal
nawet	sogar
my	wir
pierwszy	erste
wszystko	alles
musieć	müssen
pod	unter
cały	ganz
przy	bei
dwa	zwei
wiedzieć	wissen
gdy	wenn
życie	Leben
miejsce	Ort
dzień	Tag
oraz	sowie
nowy	neu
nasz	unser
duży	groß
każdy	jeder
więc	also
mój	mein
dobry	gut
można	können
drugi	zweite
jaki	welcher
kiedy	wann
jako	als
stać	stehen
także	auch
wszystek	alle
powiedzieć	sagen
wiele	viel
bez	ohne
kilka	einige
strona	Seite
coś	etwas
sprawa	Sache
dobrze	gut
jeśli	wenn
koniec	Ende
nic	nichts
żeby	damit
praca	Arbeit
osoba	Person
teraz	jetzt
niż	als
jakiś	irgendein
tam	dort
świat	Welt
nad	über
polski	polnisch
tu	hier
gdzie	wo
dom	Haus
kolejny	nächste
Polska	Polen
zacząć	beginnen
lub	oder
zrobić	machen
sposób	Weise
właśnie	gerade
dziecko	Kind
wielki	groß
również	ebenfalls
chwila	Augenblick
znaleźć	finden
ostatni	letzte
może	vielleicht
ty	du
robić	machen
dać	geben
widzieć	sehen
kto	wer
żaden	kein
wtedy	dann
trzeba	müssen
u	bei
powinien	sollen
dużo	viel
albo	oder
potem	danach
słowo	Wort
mały	klein
choć	obwohl
ważny	wichtig
zawsze	immer
oko	Auge
ręka	Hand
głowa	Kopf
własny	eigen
ktoś	jemand
prowadzić	führen
chodzić	gehen
trzy	drei
miasto	Stadt
droga	Weg
mało	wenig
dlatego	deshalb
część	Teil
często	oft
rzecz	Ding
pan	Herr
stary	alt
aby	damit
kobieta	Frau
przecież	doch
sytuacja	Situation
należeć	gehören
między	zwischen
nikt	niemand
stan	Stand
godzina	Stunde
późno	spät
czyli	beziehungsweise
prawo	Recht
myśleć	denken
problem	Problem
wysoki	hoch
wcześnie	früh
podczas	während
prosty	einfach
młody	jung
wydawać	ausgeben
aż	bis
nigdy	nie
ani	weder
tyle	soviel
dziś	heute
iść	gehen
złoty	golden
uwaga	Aufmerksamkeit
gdyby	falls
kraj	Land
tysiąc	Tausend
przypadek	Fall
pisać	schreiben
początek	Anfang
pewien	gewiss
dopiero	erst
rodzina	Familie
historia	Geschichte
daleko	weit
różny	verschieden
szybko	schnell
czuć	fühlen
poza	außer
jakby	als ob
czekać	warten
znać	kennen
żyć	leben
środek	Mitte
wszyscy	alle
zmiana	Änderung
ulica	Straße
mężczyzna	Mann
temat	Thema
dzięki	dank
głos	Stimme
wiek	Alter
cel	Ziel
chyba	wohl
siła	Kraft
wyglądać	aussehen
udać	gelingen
pracować	arbeiten
powód	Grund
pomoc	Hilfe
coraz	zunehmend
moment	Augenblick
zły	schlecht
miesiąc	Monat
oczywiście	natürlich
państwo	Staat
pytanie	Frage
okazać	erweisen
dawać	geben
działać	handeln
wziąć	nehmen
wyjść	hinausgehen
prawda	Wahrheit
przykład	Beispiel
związek	Verbindung
dotyczyć	betreffen
więcej	mehr
mimo	trotz
ponad	über
naprawdę	wirklich
długi	lang
dlaczego	warum
uważać	achten
zobaczyć	sehen
władza	Macht
grupa	Gruppe
pani	Frau
wciąż	weiterhin
wrócić	zurückkehren
myśl	Gedanke
pamiętać	erinnern
ojciec	Vater
rozmowa	Gespräch
próbować	versuchen
oba	beide
pojawić	erscheinen
zdanie	Satz
trochę	etwas
bliski	nah
znajdować	finden
ile	wie viel
zmienić	ändern
no	na
istnieć	existieren
książka	Buch
pełny	voll
pójść	gehen
śmierć	Tod
pieniądz	Geld
przyjść	kommen
lecz	sondern
niektóry	mancher
tydzień	Woche
spotkanie	Treffen
potrafić	können
ruch	Bewegung
informacja	Information
możliwość	Möglichkeit
brać	nehmen
długo	lange
główny	hauptsächlich
punkt	Punkt
wśród	unter
twarz	Gesicht
szkoła	Schule
trudno	schwer
szukać	suchen
trwać	dauern
Warszawa	Warschau
matka	Mutter
zaczynać	beginnen
większość	Mehrheit
jedynie	lediglich
jedyny	einzig
wejść	eintreten
liczyć	zählen
społeczny	sozial
decyzja	Entscheidung
rozumieć	verstehen
dojść	gelangen
dostać	bekommen
wojna	Krieg
prawie	fast
raczej	eher
udział	Anteil
podobny	ähnlich
ciało	Körper
zasada	Regel
brak	Mangel
woda	Wasser
temu	vor
uznać	anerkennen
około	etwa
prosić	bitten
przyjąć	annehmen
wobec	gegenüber
stanowić	bilden
działanie	Handlung
zupełnie	völlig
rząd	Regierung
firma	Firma
ziemia	Erde
mieszkaniec	Einwohner
zbyt	zu
wzgląd	Rücksicht
siedzieć	sitzen
cztery	vier
ogół	Gesamtheit
samochód	Auto
bowiem	denn
według	laut
prawdziwy	echt
zajmować	beschäftigen
rada	Rat
noc	Nacht
kiedyś	einst
wydać	ausgeben
czytać	lesen
rola	Rolle
napisać	schreiben
nadzieja	Hoffnung
trzeci	dritte
tworzyć	bilden
natomiast	hingegen
drzwi	Tür
dość	genug
bóg	Gott
fakt	Tatsache
związany	verbunden
oznaczać	bedeuten
plan	Plan
wynik	Ergebnis
numer	Nummer
wspólny	gemeinsam
wynikać	ergeben
obok	neben
ponieważ	weil
polityczny	politisch
potrzeba	Bedürfnis
